ensemble,gamma,d_min,n_points,alpha_full,r2_full,alpha_giant,r2_giant,alpha_core,r2_core
pl_dmin2,2.1,2.0,2,nan,nan,nan,nan,nan,nan
pl_dmin2,2.5,2.0,2,nan,nan,nan,nan,nan,nan
pl_dmin2,3.0,2.0,2,nan,nan,nan,nan,nan,nan
pl_dmin3,2.1,3.0,2,nan,nan,nan,nan,nan,nan
pl_dmin3,2.5,3.0,2,nan,nan,nan,nan,nan,nan
pl_dmin3,3.0,3.0,2,nan,nan,nan,nan,nan,nan
