ensemble,gamma,d_min,mu,n,log_Delta,rho_star,ipr2_giant,ipr_excess,frac_2core,regime
pl_dmin2,2.1,2.0,,30000.0,1.0110842999431662,8.656919355071985e-05,0.18048922320508862,5414.676696152658,0.9999576664888814,core-no-periphery
pl_dmin2,2.1,2.0,,100000.0,1.1399174072526252,2.863976832554972e-05,0.16617851358750585,16617.851358750584,0.999989999992,core-no-periphery
pl_dmin2,2.5,2.0,,30000.0,1.0904553422948546,0.00015517269099413824,0.13283604636333435,3985.0813909000303,0.9999596666111092,core-no-periphery
pl_dmin2,2.5,2.0,,100000.0,1.2275384476947635,4.9452830283092266e-05,0.12846734875571622,12846.734875571623,0.9999880999829998,core-no-periphery
pl_dmin2,3.0,2.0,,30000.0,1.0695027245611661,0.00028225553995987035,0.09406480165375551,2821.9440496126654,0.9999553329666522,core-no-periphery
pl_dmin2,3.0,2.0,,100000.0,1.252468121820044,8.66851280186434e-05,0.09125044963232795,9125.044963232795,0.9999827999559995,core-no-periphery
pl_dmin3,2.1,3.0,,30000.0,-0.2750308305819185,0.4949535320569967,0.10152059762425422,3045.617928727627,0.9999963333333334,core-no-periphery
pl_dmin3,2.1,3.0,,100000.0,-0.236823605305928,0.49998606635296283,0.10845495161419859,10845.495161419858,0.9999988000000001,core-no-periphery
pl_dmin3,2.5,3.0,,30000.0,-0.3610259975784383,0.49994492167436877,0.06861186389933366,2058.3559169800096,0.9999939999999998,core-no-periphery
pl_dmin3,2.5,3.0,,100000.0,-0.32829559709405565,0.4999839786990637,0.07450459246476672,7450.459246476672,0.9999982,core-no-periphery
pl_dmin3,3.0,3.0,,30000.0,-0.4999396573396625,0.49994734490406517,0.03242418938947158,972.7256816841474,0.9999886666666665,core-no-periphery
pl_dmin3,3.0,3.0,,100000.0,-0.46893396341478194,0.4999829461358496,0.041116457472155546,4111.645747215554,0.9999968,core-no-periphery
