c,obs,alpha,r2
2,giant,0.26970464982485287,0.9885012426969818
2,core,0.137500188380089,0.8658010947278736
3,giant,0.2058508006973158,0.98250701727143
3,core,0.08847331692797725,0.9664861571334253
4,giant,0.16745328502293708,0.9931272697724409
4,core,0.07200705415004167,0.9896789523474054
