model,c,n_target,rep,seed,n,m,avg_deg,n_components,N1,N2,giant_frac,giant_n,giant_lambda2,giant_phi_star,giant_ipr2,core_frac,core_n,core_lambda2,core_phi_star,core_ipr2
ER,2,30000,7,32007,30000,29986,1.9990666666666668,4863,8032,8137,0.8001333333333334,24004,0.003005488262084244,0.024390243902439025,0.05827293329672592,0.4751,14253,0.026360039559560677,0.11052548358193222,0.043822353755091026
ER,2,30000,11,32011,30000,29959,1.9972666666666667,4909,8081,8119,0.7938,23814,0.008573743596166805,0.0625,0.0856148508706913,0.4735666666666667,14207,0.024667339183545023,0.11428571428571428,0.03633378555322454
ER,2,30000,10,32010,30000,29938,1.9958666666666667,4924,8037,8130,0.793,23790,0.006442837066325646,0.024390243902439025,0.055820990921588605,0.4785,14355,0.0,nan,nan
ER,2,30000,13,32013,30000,29950,1.9966666666666666,4894,8094,8163,0.7927,23781,0.00222780134345002,0.015873015873015872,0.04457288738172777,0.47086666666666666,14126,0.025416177060628264,0.1111111111111111,0.0754734408659426
ER,2,30000,12,32012,30000,30040,2.002666666666667,4881,8166,8092,0.7952666666666667,23858,0.006439123788262391,0.037037037037037035,0.08939531676662607,0.4774,14322,0.025297902508101044,0.09090909090909091,0.034046678318882945
ER,2,30000,14,32014,30000,29829,1.9886,4922,8214,8144,0.7915333333333333,23746,0.005580761611564622,0.030303030303030304,0.08142572359101419,0.4634666666666667,13904,0.01965781058162963,0.08333333333333333,0.08017310555934541
ER,2,30000,16,32016,30000,29905,1.9936666666666667,4882,8180,8089,0.7969666666666667,23909,0.002706255843418104,0.017543859649122806,0.04741428362259057,0.4698,14094,0.01758737985349379,0.08333333333333333,0.06638881844671485
ER,2,30000,17,32017,30000,30096,2.0064,4836,8056,8054,0.7989,23967,0.005180787761553729,0.02857142857142857,0.08064402919921816,0.4799,14397,0.028430824132358756,0.10650672482733552,0.0431657053595172
ER,2,30000,15,32015,30000,30032,2.0021333333333335,4771,8140,8243,0.8010333333333334,24031,0.006063630813562648,0.054945054945054944,0.0781138393897266,0.4715,14145,0.026381306322291076,0.1169078044144049,0.04477071884561375
ER,2,30000,19,32019,30000,29767,1.9844666666666666,4998,8262,7914,0.7937666666666666,23813,0.005714129983735772,0.02702702702702703,0.06953319771538093,0.46166666666666667,13850,0.022588184870268924,0.09090909090909091,0.07471039097309459
ER,2,30000,18,32018,30000,29954,1.9969333333333332,4897,8102,8078,0.7952333333333333,23857,0.007602050556506645,0.0707070707070707,0.030977033425475278,0.4725,14175,0.0203097728965429,0.09090909090909091,0.07579937495642501
ER,2,100000,1,102001,100000,99307,1.98614,16509,27338,26912,0.7932,79320,0.003348200347673247,0.02040816326530612,0.05546100967510021,0.46719,46719,0.018460904179750548,0.09090909090909091,0.07232299654559957
ER,2,100000,3,102003,100000,99896,1.99792,16401,26952,27060,0.79452,79452,0.0028655035620550606,0.02564102564102564,0.05024677857835412,0.47231,47231,0.025628453962303066,0.1076995748700992,0.02991761339260637
ER,2,100000,4,102004,100000,99994,1.99988,16136,27131,27152,0.79678,79678,0.004041428608932529,0.02702702702702703,0.07884834475618581,0.47354,47354,0.021299110144370914,0.1,0.05150532475747464
ER,2,100000,2,102002,100000,99993,1.99986,16207,27028,27103,0.79786,79786,0.003860194262849781,0.023255813953488372,0.05443926516093991,0.47318,47318,0.017843811025186618,0.08571428571428572,0.0748436952823561
ER,2,100000,5,102005,100000,100197,2.00394,16088,26916,27245,0.79868,79868,0.003919512247320345,0.02857142857142857,0.08190978312218983,0.47422,47422,0.018539755783629985,0.08333333333333333,0.07484350831520949
ER,2,100000,0,102000,100000,100276,2.00552,16164,26897,27188,0.7984,79840,0.0048108218598506,0.024390243902439025,0.0665894115042634,0.47504,47504,0.020269490803581647,0.08333333333333333,0.07735935881639414
ER,2,100000,6,102006,100000,100206,2.00412,16101,27047,27029,0.799,79900,0.0033962331758989883,0.017543859649122806,0.04586844856783615,0.47565,47565,0.019160072936726058,0.09523809523809523,0.06672492398669283
ER,2,100000,9,102009,100000,100046,2.00092,16143,26940,27074,0.79773,79773,0.0053413650052380746,0.047619047619047616,0.07454091303321227,0.47522,47522,0.014342059639752769,0.07692307692307693,0.07220689466069233
ER,2,100000,7,102007,100000,99970,1.9994,16193,27110,26966,0.79579,79579,0.00566944374863354,0.037037037037037035,0.09979684628188595,0.47297,47297,0.0173396976760416,0.09090909090909091,0.054793481912544406
ER,2,100000,8,102008,100000,99815,1.9963,16318,27130,27017,0.79458,79458,0.004182837987289245,0.030303030303030304,0.06302744117062702,0.47205,47205,0.021244580552971737,0.09090909090909091,0.08157887570249048
ER,2,100000,12,102012,100000,99981,1.99962,16179,27267,26983,0.79469,79469,0.005438281996221761,0.037037037037037035,0.08213188874186382,0.47221,47221,0.019243398936671374,0.08333333333333333,0.06462163693493629
ER,2,100000,10,102010,100000,99391,1.98782,16438,27221,27254,0.79173,79173,0.006115797006505774,0.047619047619047616,0.09481505544741674,0.46642,46642,0.017214504532432562,0.10344827586206896,0.054364735752136996
ER,2,100000,11,102011,100000,100084,2.00168,16108,27233,27077,0.79803,79803,0.006527027543559827,0.02857142857142857,0.039392640207915205,0.47152,47152,0.023835754707653978,0.09090909090909091,0.06824661932289001
ER,2,100000,14,102014,100000,100187,2.00374,16176,26913,27015,0.79876,79876,0.004438631887353495,0.030303030303030304,0.10198560518289865,0.47548,47548,0.016720919604662265,0.08333333333333333,0.07006814103076181
ER,2,100000,13,102013,100000,99624,1.99248,16260,27118,27174,0.7958,79580,0.005689638500893768,0.023255813953488372,0.07359549735593417,0.46862,46862,0.0179739203941347,0.07692307692307693,0.08157516924149519
ER,3,100,0,3100,100,139,2.78,7,13,28,0.92,92,0.08351372382010858,0.13636363636363635,0.07321564488031301,0.77,77,0.10430730274484233,0.15702479338842976,0.038676459149479744
ER,3,100,1,3101,100,160,3.2,3,13,20,0.97,97,0.09291404140585724,0.15384615384615385,0.03331271035639337,0.85,85,0.10907237089692963,0.16083916083916083,0.02765218875520404
ER,3,100,2,3102,100,160,3.2,4,14,19,0.97,97,0.08515833442390107,0.2,0.1439525811800183,0.81,81,0.13256332498451573,0.18032786885245902,0.09213946694339493
ER,3,100,3,3103,100,140,2.8,12,15,20,0.86,86,0.09360671905175383,0.10948905109489052,0.02727683514601361,0.75,75,0.09796762364111597,0.13043478260869565,0.03574576671096043
ER,3,100,4,3104,100,145,2.9,4,12,31,0.97,97,0.0807221894271258,0.16083916083916083,0.040759685102686447,0.82,82,0.0879143085586087,0.13821138211382114,0.041899570629847394
ER,3,100,5,3105,100,126,2.52,12,16,30,0.88,88,0.0579774837472447,0.14285714285714285,0.13974605395271686,0.67,67,0.08794331840015648,0.16279069767441862,0.05576598265463446
ER,3,100,6,3106,100,152,3.04,4,19,20,0.97,97,0.0905527989832246,0.1506849315068493,0.1038823810376018,0.73,73,0.1275086926645572,0.1746031746031746,0.05951438483382771
ER,3,100,7,3107,100,145,2.9,10,20,15,0.89,89,0.0889786797139044,0.16176470588235295,0.07643203944362437,0.69,69,0.1212018183017088,0.18032786885245902,0.0393630326382557
ER,3,100,8,3108,100,148,2.96,4,14,22,0.97,97,0.08964451043378914,0.17006802721088435,0.07979175948948473,0.82,82,0.11276181336127226,0.15384615384615385,0.031942648062709605
ER,3,100,9,3109,100,163,3.26,6,9,22,0.95,95,0.11558661171589485,0.16770186335403728,0.03606856703819619,0.84,84,0.12072853252987266,0.18620689655172415,0.04813323952093362
ER,3,100,10,3110,100,150,3.0,5,9,30,0.96,96,0.08630254658812944,0.1527777777777778,0.06105847773941823,0.85,85,0.09494156198206148,0.16535433070866143,0.05466312943303376
ER,3,100,11,3111,100,160,3.2,6,8,20,0.95,95,0.10622402715840525,0.16981132075471697,0.03952807137238793,0.86,86,0.11435297506200903,0.18120805369127516,0.05574753214599593
ER,3,100,12,3112,100,162,3.24,5,10,24,0.96,96,0.11395462827581634,0.15463917525773196,0.021760473924004164,0.86,86,0.12234897080680918,0.15862068965517243,0.024092579996811195
ER,3,100,13,3113,100,165,3.3,4,8,25,0.97,97,0.11574583155587599,0.2073170731707317,0.14749621653898695,0.88,88,0.14729190873019957,0.2052980132450331,0.03148091639132167
ER,3,100,14,3114,100,151,3.02,3,14,17,0.98,98,0.10923629185367213,0.13333333333333333,0.05268687732627687,0.82,82,0.13214186480067344,0.16923076923076924,0.02933313238261502
ER,3,100,15,3115,100,158,3.16,6,13,21,0.95,95,0.1221895801311746,0.189873417721519,0.030708078990754013,0.79,79,0.1507336604087539,0.2112676056338028,0.043230362049380404
ER,3,100,16,3116,100,141,2.82,5,12,33,0.96,96,0.08416115996238294,0.11428571428571428,0.029458369580858224,0.83,83,0.09322588916970256,0.13793103448275862,0.030189967963894143
ER,3,100,17,3117,100,160,3.2,6,9,23,0.95,95,0.11892561484716774,0.22058823529411764,0.046684528980464705,0.84,84,0.12951733434205204,0.22758620689655173,0.0481116811168321
ER,3,100,18,3118,100,128,2.56,14,15,21,0.87,87,0.03866016775038495,0.07692307692307693,0.18070260290180018,0.66,66,0.053045061823948185,0.1111111111111111,0.24464574277748843
ER,3,100,19,3119,100,151,3.02,5,12,31,0.95,95,0.08319075483372401,0.1590909090909091,0.10822949239507135,0.83,83,0.10865659976555056,0.12408759124087591,0.023810000671954087
ER,3,200,0,3200,200,290,2.9,14,32,44,0.93,186,0.05841778279115178,0.1111111111111111,0.19784111089838266,0.75,150,0.10747617084575078,0.15517241379310345,0.0325647321825179
ER,3,200,1,3201,200,342,3.42,6,27,42,0.97,194,0.06604930427690944,0.16666666666666666,0.18867753773770493,0.835,167,0.12530838869677952,0.1649122807017544,0.01881653227587858
ER,3,200,2,3202,200,278,2.78,17,31,47,0.915,183,0.04815816466355139,0.14285714285714285,0.1900898993790333,0.73,146,0.09851069397802512,0.15151515151515152,0.03647958831097958
ER,3,200,3,3203,200,317,3.17,11,27,44,0.945,189,0.09446605211024998,0.2,0.25430877179605077,0.8,160,0.12738922883232023,0.15151515151515152,0.019028602681845978
ER,3,200,4,3204,200,300,3.0,7,35,53,0.96,192,0.06310152465432549,0.17647058823529413,0.16060028830070647,0.75,150,0.10892481450987808,0.17647058823529413,0.024560382987374004
ER,3,200,5,3205,200,304,3.04,15,29,41,0.91,182,0.05815976484316247,0.14285714285714285,0.19676561660266212,0.76,152,0.11272984833731231,0.17870722433460076,0.018834249992212854
ER,3,200,6,3206,200,299,2.99,9,28,46,0.96,192,0.06956961284304876,0.12751677852348994,0.014589417976544714,0.785,157,0.08344935876670179,0.14942528735632185,0.01598880310639686
ER,3,200,7,3207,200,276,2.76,12,32,58,0.94,188,0.06045957441590014,0.11711711711711711,0.015903014596357012,0.765,153,0.07555419133051988,0.12931034482758622,0.018532695139416962
ER,3,200,8,3208,200,274,2.74,14,44,39,0.915,183,0.03950647591585099,0.1111111111111111,0.19655380276718515,0.66,132,0.08457696056242833,0.18181818181818182,0.05881235335576473
ER,3,200,9,3209,200,304,3.04,15,30,36,0.925,185,0.06563947870158127,0.14285714285714285,0.20692542078021342,0.755,151,0.10363811973208341,0.1865671641791045,0.03266471006744303
ER,3,200,10,3210,200,326,3.26,9,24,39,0.955,191,0.07208683214292941,0.14285714285714285,0.20144256691402349,0.815,163,0.11635304473906119,0.18493150684931506,0.11816842734202743
ER,3,200,11,3211,200,270,2.7,14,30,58,0.93,186,0.03857331350188349,0.1111111111111111,0.2045394313287497,0.72,144,0.07193089234682647,0.16363636363636364,0.0707921708991114
ER,3,200,12,3212,200,296,2.96,10,31,46,0.955,191,0.05868680451791998,0.16666666666666666,0.11937581790477501,0.77,154,0.08595527970893285,0.15294117647058825,0.07529201226537004
ER,3,200,13,3213,200,331,3.31,9,17,46,0.96,192,0.07187031104061417,0.19672131147540983,0.10013400534378009,0.86,172,0.07267427043462815,0.19831223628691982,0.10604808394846572
ER,3,200,14,3214,200,306,3.06,12,30,47,0.935,187,0.08175521450293877,0.1891891891891892,0.03660042084844793,0.78,156,0.10032732796833162,0.18382352941176472,0.03079042660026152
ER,3,200,15,3215,200,304,3.04,8,32,44,0.96,192,0.06537065775946362,0.13712374581939799,0.0594219433179333,0.785,157,0.08137309043780035,0.1450381679389313,0.05625080413307316
ER,3,200,16,3216,200,281,2.81,10,31,54,0.95,190,0.0412580543319502,0.125,0.09739696609932916,0.77,154,0.0676956598753807,0.15481171548117154,0.05467895279674579
ER,3,200,17,3217,200,281,2.81,9,39,48,0.955,191,0.05860365403828636,0.12857142857142856,0.04719478186811114,0.72,144,0.06702930293137783,0.16666666666666666,0.12534630073910322
ER,3,200,18,3218,200,320,3.2,10,26,49,0.95,190,0.06272887467045032,0.14285714285714285,0.13833643484520933,0.805,161,0.07482361349057931,0.16666666666666666,0.145678114602154
ER,3,200,19,3219,200,306,3.06,10,33,41,0.95,190,0.0840309160698427,0.1793103448275862,0.21114711808125483,0.77,154,0.1134146413118462,0.14925373134328357,0.0418236968450083
ER,3,500,0,3500,500,753,3.012,25,77,112,0.936,468,0.06474827108823578,0.16666666666666666,0.09940371173428526,0.782,391,0.08234244039666103,0.1750380517503805,0.10766391591617884
ER,3,500,1,3501,500,795,3.18,25,57,111,0.95,475,0.05230536759145635,0.14285714285714285,0.23518765601593117,0.82,410,0.11212898453686612,0.1883656509695291,0.028177726294283084
ER,3,500,2,3502,500,739,2.956,38,77,98,0.924,462,0.05890121611625011,0.1111111111111111,0.0754970040498702,0.742,371,0.07170889436328044,0.2,0.09069527182392517
ER,3,500,3,3503,500,735,2.94,30,78,116,0.938,469,0.07433234432979444,0.15862068965517243,0.030396831281757637,0.762,381,0.09207273382357334,0.16850393700787403,0.060014074109726666
ER,3,500,4,3504,500,726,2.904,31,87,116,0.91,455,0.05876337889473803,0.14285714285714285,0.2501098735488393,0.726,363,0.08761293730786543,0.16369529983792544,0.055953545858864494
ER,3,500,5,3505,500,697,2.788,30,92,122,0.934,467,0.02701390392453142,0.09090909090909091,0.1774357758152234,0.716,358,0.06621097070141636,0.16006884681583478,0.05229594327325759
ER,3,500,6,3506,500,762,3.048,31,73,91,0.932,466,0.07666474536528088,0.16666666666666666,0.1990717356437715,0.776,388,0.11068369437122416,0.17699115044247787,0.03785297710622469
ER,3,500,7,3507,500,736,2.944,33,76,100,0.922,461,0.06889662771300459,0.14285714285714285,0.1637187823100114,0.768,384,0.09741111519850713,0.15772870662460567,0.01419945178757721
ER,3,500,8,3508,500,702,2.808,26,96,135,0.944,472,0.07225682756095451,0.1204644412191582,0.015769214157885434,0.722,361,0.08785237285186259,0.13458262350936967,0.016496527732760728
ER,3,500,9,3509,500,749,2.996,27,90,104,0.944,472,0.07877103491742511,0.15013404825737264,0.08218681061104509,0.748,374,0.09991037843436373,0.1561051004636785,0.03968783132195052
ER,3,500,10,3510,500,743,2.972,22,82,117,0.956,478,0.05839070384767916,0.14285714285714285,0.19889084722301342,0.766,383,0.08629174245275541,0.15301391035548687,0.047505437883581365
ER,3,500,11,3511,500,744,2.976,34,70,117,0.924,462,0.07467318445667237,0.14285714285714285,0.10964553621455456,0.788,394,0.09367506816776619,0.15015015015015015,0.01626608435144552
ER,3,500,12,3512,500,707,2.828,29,77,134,0.942,471,0.05274753664506052,0.1111111111111111,0.19656955418799524,0.76,380,0.05864707545354137,0.14285714285714285,0.13043088002132924
ER,3,500,13,3513,500,762,3.048,19,71,114,0.96,480,0.0688178208272444,0.1752021563342318,0.05760609228765611,0.81,405,0.08685757008113122,0.15542521994134897,0.04292427038036849
ER,3,500,14,3514,500,716,2.864,27,92,113,0.946,473,0.06641574175120044,0.1282051282051282,0.03966792572788953,0.734,367,0.09148655704959684,0.14480408858603067,0.020979272697564517
ER,3,500,15,3515,500,712,2.848,33,84,108,0.918,459,0.060119528349282275,0.1383737517831669,0.06743947211324446,0.746,373,0.07150031252125084,0.1507293354943274,0.045272073644622476
ER,3,500,16,3516,500,778,3.112,27,70,93,0.944,472,0.059196174088479867,0.1111111111111111,0.17423728790837945,0.796,398,0.1003872223925641,0.1530758226037196,0.05426974049342011
ER,3,500,17,3517,500,718,2.872,34,73,124,0.928,464,0.03420338515182473,0.1111111111111111,0.19548338982335733,0.736,368,0.08721182766180531,0.14100486223662884,0.010766202371543463
ER,3,500,18,3518,500,763,3.052,22,76,105,0.958,479,0.052550950057560435,0.1111111111111111,0.13936778673991101,0.768,384,0.09761937635366133,0.1566265060240964,0.011844274727673876
ER,3,500,19,3519,500,727,2.908,28,76,110,0.942,471,0.01733186823188356,0.06666666666666667,0.16360515808209733,0.754,377,0.08780972964034948,0.1741472172351885,0.03345913610903509
ER,3,1000,0,4000,1000,1511,3.022,50,144,224,0.947,947,0.06149885418168199,0.16883116883116883,0.14274744716157428,0.783,783,0.09183453773559443,0.16527037319116528,0.013965322139580351
ER,3,1000,1,4001,1000,1427,2.854,66,172,215,0.932,932,0.055110745411120474,0.1414496833216045,0.15657270134696963,0.735,735,0.07571266697987919,0.1836734693877551,0.0593114879325958
ER,3,1000,2,4002,1000,1479,2.958,50,167,226,0.942,942,0.032482517624881524,0.09090909090909091,0.17852053533854675,0.759,759,0.09129856216115416,0.16264591439688716,0.03725772445120352
ER,3,1000,3,4003,1000,1461,2.922,50,165,235,0.947,947,0.03910600067830834,0.1111111111111111,0.201516670188187,0.753,753,0.0894918578809168,0.1641554321966693,0.02140913638762802
ER,3,1000,4,4004,1000,1483,2.966,45,151,237,0.952,952,0.03187684723910928,0.07692307692307693,0.1741971227515345,0.772,772,0.071845682304028,0.1820294345468629,0.09289089758022771
ER,3,1000,5,4005,1000,1493,2.986,68,148,213,0.928,928,0.06104341275052986,0.14285714285714285,0.25307148208019276,0.764,764,0.0860462060247015,0.15495086923658352,0.0953563273332214
ER,2,100000,15,102015,100000,99837,1.99674,16187,27290,27149,0.79566,79566,0.004933892946838991,0.043478260869565216,0.09204040081945833,0.46785,46785,0.02100399031496325,0.1,0.0831270044067162
ER,3,1000,6,4006,1000,1507,3.014,45,135,237,0.954,954,0.0496261805866974,0.13043478260869565,0.2059894253666802,0.797,797,0.07468185099679044,0.16431226765799256,0.09873222664746335
ER,3,1000,7,4007,1000,1506,3.012,64,151,212,0.934,934,0.053862408799748275,0.1111111111111111,0.1873647574521905,0.756,756,0.09757333248194491,0.16515151515151516,0.023455307414850263
ER,3,1000,8,4008,1000,1504,3.008,55,154,216,0.937,937,0.06116361202378987,0.14285714285714285,0.23335214204334007,0.768,768,0.08380555819005936,0.16906747536012132,0.11500079780947224
ER,3,1000,9,4009,1000,1501,3.002,61,152,207,0.939,939,0.05399433728478762,0.14285714285714285,0.09991261843578822,0.755,755,0.06622799603441049,0.16666666666666666,0.12339705642712627
ER,3,1000,10,4010,1000,1485,2.97,46,154,242,0.95,950,0.050879573178993505,0.1111111111111111,0.13135632048809998,0.771,771,0.08985615204136593,0.1552123552123552,0.011697557534977953
ER,3,1000,11,4011,1000,1463,2.926,64,139,245,0.934,934,0.05192087561654198,0.1111111111111111,0.18250893390808284,0.772,772,0.08750247090111661,0.13505074160811867,0.01877232358339402
ER,3,1000,12,4012,1000,1473,2.946,49,169,213,0.946,946,0.04291750111566876,0.14285714285714285,0.18457120199655985,0.757,757,0.07542550219304925,0.16639741518578352,0.0628729352665402
ER,3,1000,13,4013,1000,1483,2.966,51,143,240,0.943,943,0.06276605963657676,0.16666666666666666,0.17307532941990195,0.783,783,0.08865329799063255,0.14670896114195084,0.008579637439892145
ER,3,1000,14,4014,1000,1547,3.094,48,138,228,0.95,950,0.053278381483340395,0.14285714285714285,0.20229819166522037,0.791,791,0.09475978193448384,0.15542521994134897,0.03249374986091847
ER,3,1000,15,4015,1000,1492,2.984,64,143,247,0.933,933,0.040509374784323614,0.1111111111111111,0.2267928849544664,0.772,772,0.09130158158312711,0.15146948003014318,0.02954314815953837
ER,3,1000,16,4016,1000,1561,3.122,45,136,215,0.955,955,0.05368341300374685,0.1111111111111111,0.230307112517445,0.797,797,0.09688385093249888,0.16666666666666666,0.017665650854367936
ER,3,1000,17,4017,1000,1471,2.942,60,153,249,0.927,927,0.049810690450548756,0.1111111111111111,0.1163863278378246,0.767,767,0.06051499285974577,0.16666666666666666,0.1590300760371488
ER,3,1000,18,4018,1000,1497,2.994,49,151,219,0.95,950,0.04707126024894967,0.09090909090909091,0.15521609752518653,0.775,775,0.09462859015895526,0.16109422492401215,0.010628925665208898
ER,2,100000,18,102018,100000,99740,1.9948,16324,27005,27093,0.79634,79634,0.005086136751878412,0.03225806451612903,0.06814978821066454,0.47166,47166,0.023543589793378228,0.13036814817230247,0.04308206387031431
ER,3,1000,19,4019,1000,1461,2.922,59,144,243,0.937,937,0.0569749749481122,0.1111111111111111,0.0835289475107633,0.771,771,0.0847662448708687,0.14906832298136646,0.08174755253934594
ER,3,3000,0,6000,3000,4512,3.008,171,439,681,0.9373333333333334,2812,0.039048341899426076,0.14285714285714285,0.14521158047505087,0.7693333333333333,2308,0.08357151468702684,0.16112789526686808,0.0443988871924063
ER,3,3000,1,6001,3000,4285,2.8566666666666665,178,521,723,0.931,2793,0.023233500914323857,0.09090909090909091,0.1706877505803635,0.7316666666666667,2195,0.06731895608473581,0.16666666666666666,0.13467907920450609
ER,3,3000,2,6002,3000,4466,2.977333333333333,167,435,665,0.9383333333333334,2815,0.04940711225117922,0.14285714285714285,0.13470024612035214,0.778,2334,0.08392549780666703,0.15580448065173116,0.011379872204562753
ER,3,3000,3,6003,3000,4546,3.030666666666667,149,446,705,0.9446666666666667,2834,0.030850494012054863,0.07692307692307693,0.13957913649250114,0.7833333333333333,2350,0.08590776050204796,0.17111222949169602,0.034034639236881145
ER,3,3000,4,6004,3000,4569,3.046,151,449,649,0.9453333333333334,2836,0.04997020506665728,0.1111111111111111,0.18708472531417836,0.777,2331,0.07353505768456792,0.18337045285820341,0.07490581736850033
ER,2,100000,17,102017,100000,99884,1.99768,16280,27027,27204,0.79646,79646,0.004391467125875348,0.024390243902439025,0.052989410867042355,0.47154,47154,0.01884538485797549,0.09090909090909091,0.04498338152665015
ER,2,100000,19,102019,100000,99997,1.99994,16009,27300,26906,0.79876,79876,0.0034800295209838072,0.024390243902439025,0.0699440190702165,0.47227,47227,0.015676254868410178,0.07692307692307693,0.0691316331235019
ER,3,3000,5,6005,3000,4580,3.0533333333333332,155,454,616,0.944,2832,0.0470620914089821,0.09090909090909091,0.15879377754230717,0.7683333333333333,2305,0.095355429981129,0.15249194148276718,0.016208332430219897
ER,3,3000,6,6006,3000,4439,2.9593333333333334,175,433,708,0.9393333333333334,2818,0.04614617347057903,0.14285714285714285,0.21518277862251398,0.7706666666666667,2312,0.0834350078045758,0.1598056762976221,0.0996799258495783
ER,3,3000,7,6007,3000,4489,2.9926666666666666,155,465,668,0.945,2835,0.04704066249775907,0.1111111111111111,0.04665339284142035,0.773,2319,0.0737758851946766,0.19493029150823826,0.04992488309344662
ER,3,3000,8,6008,3000,4519,3.0126666666666666,168,452,652,0.941,2823,0.045170421746422385,0.1111111111111111,0.21364355916703903,0.772,2316,0.08466780929408269,0.1702074481379655,0.053248854801577754
ER,3,3000,9,6009,3000,4546,3.030666666666667,157,463,636,0.943,2829,0.030882984330274477,0.09090909090909091,0.17976287988889375,0.7663333333333333,2299,0.0897609853683976,0.15971007248187952,0.03405818315840689
ER,3,3000,10,6010,3000,4485,2.99,177,438,672,0.9326666666666666,2798,0.028373131773135718,0.07692307692307693,0.18289234088139036,0.777,2331,0.08984857354492526,0.15159107992984214,0.010821963859440106
ER,3,3000,13,6013,3000,4597,3.0646666666666667,132,435,679,0.953,2859,0.049481689391404515,0.14285714285714285,0.11726618608527035,0.7816666666666666,2345,0.0878580114535179,0.17158308751229107,0.019516759333240336
ER,3,3000,14,6014,3000,4529,3.0193333333333334,160,425,725,0.9416666666666667,2825,0.047614010022325015,0.1111111111111111,0.21508451219343563,0.779,2337,0.06724270669523613,0.16666666666666666,0.13132698589961672
ER,3,3000,16,6016,3000,4566,3.044,146,439,678,0.9463333333333334,2839,0.046857742054461804,0.125,0.12257159715939453,0.7816666666666666,2345,0.04705424631691568,0.125,0.1366391856260311
ER,3,3000,17,6017,3000,4455,2.97,176,473,654,0.933,2799,0.044909097580436486,0.1111111111111111,0.25906125522899875,0.7636666666666667,2291,0.07833896086155234,0.17419025758735016,0.10892193135336709
ER,3,3000,11,6011,3000,4561,3.0406666666666666,146,443,675,0.948,2844,0.03691923428390531,0.09090909090909091,0.201441876698963,0.777,2331,0.09073654206593318,0.16129032258064516,0.02643289968114683
ER,3,3000,12,6012,3000,4516,3.010666666666667,172,465,662,0.9373333333333334,2812,0.040697912021466776,0.1111111111111111,0.2152657832360957,0.766,2298,0.08724058548200442,0.1717019133937563,0.04943820851177663
ER,3,3000,19,6019,3000,4473,2.982,170,469,659,0.9363333333333334,2809,0.03374278998534708,0.06666666666666667,0.1529447362516048,0.7583333333333333,2275,0.07195272348637682,0.19682214249103025,0.08338433238866823
ER,3,3000,18,6018,3000,4529,3.0193333333333334,166,441,666,0.9406666666666667,2822,0.05687072694953432,0.14285714285714285,0.22884083664593033,0.771,2313,0.07858079840786103,0.18431568431568432,0.06698919396557063
ER,3,3000,15,6015,3000,4540,3.026666666666667,153,439,648,0.9453333333333334,2836,0.04769923752413052,0.1111111111111111,0.19941616719639169,0.7796666666666666,2339,0.09029223579419776,0.15384615384615385,0.007298101103309605
ER,3,10000,1,13001,10000,15314,3.0628,514,1444,2198,0.9438,9438,0.016988318231732746,0.06666666666666667,0.1607670310341113,0.7821,7821,0.08131774952191417,0.16936844421624,0.09945909699895929
ER,3,10000,0,13000,10000,15082,3.0164,526,1516,2207,0.9423,9423,0.029788264340812942,0.09090909090909091,0.21891133444192115,0.7728,7728,0.08066843209918506,0.16985663889514374,0.026163230297135357
ER,3,10000,4,13004,10000,14875,2.975,561,1498,2226,0.9382,9382,0.0301382223687916,0.07692307692307693,0.18734171628772195,0.7709,7709,0.07945834580301314,0.16737674984783932,0.05548951484362048
ER,3,10000,2,13002,10000,15040,3.008,545,1542,2214,0.9395,9395,0.029274885915463456,0.09090909090909091,0.10693752324457313,0.7669,7669,0.0689848047313324,0.19501133786848074,0.12200875529666674
ER,3,10000,3,13003,10000,14902,2.9804,573,1503,2234,0.938,9380,0.03733533635857911,0.14285714285714285,0.17542945085073583,0.7705,7705,0.07611317057132116,0.16906010181597142,0.128408420586565
ER,3,10000,6,13006,10000,15095,3.019,537,1463,2198,0.942,9420,0.04154857307815063,0.1111111111111111,0.1658067490244835,0.776,7760,0.08026511817956927,0.17457234630611787,0.10252090177120785
ER,3,10000,7,13007,10000,15059,3.0118,521,1466,2287,0.9435,9435,0.03559014062143384,0.09090909090909091,0.17939004970289255,0.7797,7797,0.0684800589979142,0.19087761553514979,0.12307927932652604
ER,3,10000,5,13005,10000,14912,2.9824,564,1546,2219,0.9387,9387,0.033843518549341756,0.1111111111111111,0.16966819823276136,0.7645,7645,0.07132603582614139,0.1832598437379129,0.09009873293584414
ER,3,10000,9,13009,10000,15008,3.0016,538,1468,2284,0.9412,9412,0.04632057852623328,0.09090909090909091,0.16893024110373547,0.7747,7747,0.07280109503983723,0.16666666666666666,0.13287290040515723
ER,3,10000,8,13008,10000,14904,2.9808,576,1431,2304,0.9351,9351,0.027801728028408856,0.09090909090909091,0.19523915241949116,0.778,7780,0.07221630511019939,0.1832855634333987,0.06295665943209075
ER,2,100000,16,102016,100000,99991,1.99982,16194,27179,26846,0.79837,79837,0.003431312533020092,0.017543859649122806,0.05417567757082592,0.47083,47083,0.022765292893150102,0.125,0.0467218983692929
ER,3,10000,10,13010,10000,15150,3.03,496,1543,2136,0.9452,9452,0.03131638725794561,0.09090909090909091,0.20382567061160548,0.7733,7733,0.07755279583981789,0.17599521101466628,0.11303833470173037
