gamma,n,lam2_dmin2,lam2_dmin3,ratio_d3_over_d2,phi_dmin2,phi_dmin3,ipr_dmin2,ipr_dmin3
2.1,100.0,0.19097034295659213,0.3205411050064687,1.678486303390722,0.2650131764473391,0.313339565277548,0.11855016777959948,0.06909480375243299
2.1,200.0,0.1824413382052555,0.31271304615964823,1.714047097198063,0.2746859483170005,0.30972256231898276,0.13931564932507381,0.05392566070998053
2.1,500.0,0.15411118161560985,0.3021601079502461,1.9606631055746864,0.26501393799643175,0.3149566474920343,0.136470783569202,0.06394979177906693
2.1,1000.0,0.13297981443401152,0.2901928083186575,2.1822320143382337,0.2380979857775135,0.31682275193315135,0.17714964852934367,0.0718138438514233
2.1,3000.0,0.11565877420535625,0.28291299855924595,2.446100613663118,0.2136174870880753,0.3217019402238715,0.18725232694266405,0.07937693529786925
2.1,10000.0,0.09534656223408979,0.2668157768504463,2.798378573895244,0.19007126207126201,0.32994328366967574,0.18397494671999692,0.09952172046036743
2.1,30000.0,0.083399585871942,0.25739134383628165,3.086242469255179,0.16973852523465527,0.3354565527742316,0.18048922320508862,0.10152059762425422
2.1,100000.0,0.06999175358300264,0.24916149433769064,3.559869292919088,0.15335826000754094,0.3419618542765411,0.16617851358750585,0.10845495161419859
2.5,100.0,0.11906744302123748,0.26434843220327836,2.220157126882517,0.19972691128191236,0.27850268136006917,0.10456576652746284,0.05591276457627207
2.5,200.0,0.10808101731000049,0.2557500406199608,2.3662808417727286,0.20234539830455436,0.27413216702654947,0.10011462725122552,0.044464289147057814
2.5,500.0,0.09634669601603715,0.24544547056543897,2.5475234825342006,0.2028375013577395,0.2765565689824012,0.12232963803010097,0.03907521850590019
2.5,1000.0,0.0861467001766462,0.23920954083784524,2.776769630726881,0.18767021512512116,0.2810332415625291,0.12447211045396596,0.04190412750806323
2.5,3000.0,0.07211516410599852,0.22967421189717618,3.1848254766444044,0.16556522962338008,0.28352698396151677,0.14186750840716036,0.053233500712480286
2.5,10000.0,0.056592500233361404,0.22349367026389763,3.949174702342407,0.14267819558699893,0.2862635918060338,0.13585937156032968,0.05392314003810064
2.5,30000.0,0.04855004526988111,0.21408874996481775,4.409650882398488,0.12764581776535885,0.29295307954740385,0.13283604636333435,0.06861186389933366
2.5,100000.0,0.041439860863997424,0.20744681775549442,5.005972834617365,0.11412499955746572,0.29916265680678517,0.12846734875571622,0.07450459246476672
3.0,100.0,0.0706151102465783,0.20868426597286455,2.9552352923357006,0.14189909700115247,0.23820357869412398,0.0715521967227738,0.04968441104501631
3.0,200.0,0.06104842955913294,0.1975387879060099,3.2357718180886077,0.142129980038511,0.24300977245535624,0.07232679213871701,0.04156751178431769
3.0,500.0,0.05082541484706902,0.19043342384045103,3.746814943143211,0.13836056804832153,0.23649308671806105,0.08202636101855518,0.028205359646587262
3.0,1000.0,0.04486545426491428,0.18923804505758254,4.217901014446445,0.13579981565524868,0.23486130677787667,0.09108798390797401,0.017623714821678692
3.0,3000.0,0.0361728560175851,0.18152581003047036,5.018288020780644,0.11629185223873684,0.2362207067621906,0.09565706614058155,0.020621377454908777
3.0,10000.0,0.03119407265144232,0.1745129409878637,5.594426317391896,0.10364201273678202,0.2432153171868072,0.09347658367716495,0.031800113486197684
3.0,30000.0,0.026275935597440493,0.17240897686020498,6.561478133513127,0.09268056980602993,0.24344898150509453,0.09406480165375551,0.03242418938947158
3.0,100000.0,0.021148676015479335,0.16812065022609216,7.949464548184469,0.08060897316526924,0.24793898324370184,0.09125044963232795,0.041116457472155546
