=== α в λ₂ ~ n^(−α)  (R², точек n) ===
      ensemble     γ  dmin    α(G)    R²  α(giant)    R²  α(core)    R²
planted_dmin2_mu0.1   2.5   full    0.003  0.00    False
planted_dmin2_mu0.1   2.5  giant    0.109  0.01    False
planted_dmin2_mu0.1   2.5   core   -0.116  0.01    False
planted_dmin2_mu0.1   3.0   full    1.021  0.33     True
planted_dmin2_mu0.1   3.0  giant    0.984  0.32     True
planted_dmin2_mu0.1   3.0   core    0.396  0.07    False
planted_dmin2_mu0.2   2.1   full    1.209  0.39     True
planted_dmin2_mu0.2   2.1  giant    1.218  0.40     True
planted_dmin2_mu0.2   2.1   core    0.953  0.27     True
planted_dmin2_mu0.2   2.5   full    1.322  0.69     True
planted_dmin2_mu0.2   2.5  giant    1.306  0.68     True
planted_dmin2_mu0.2   2.5   core    1.171  0.55     True
planted_dmin2_mu0.2   3.0   full    1.427  0.74     True
planted_dmin2_mu0.2   3.0  giant    1.423  0.75     True
planted_dmin2_mu0.2   3.0   core    1.297  0.63     True
planted_dmin2_mu0.3   2.1   full    1.435  0.82     True
planted_dmin2_mu0.3   2.1  giant    1.443  0.83     True
planted_dmin2_mu0.3   2.1   core    1.361  0.71     True
planted_dmin2_mu0.3   2.5   full    1.389  0.78     True
planted_dmin2_mu0.3   2.5  giant    1.372  0.77     True
planted_dmin2_mu0.3   2.5   core    1.286  0.65     True
planted_dmin2_mu0.3   3.0   full    1.515  0.80     True
planted_dmin2_mu0.3   3.0  giant    1.511  0.79     True
planted_dmin2_mu0.3   3.0   core    1.414  0.67     True
planted_dmin3_mu0.05   2.1   full    0.702  0.81    False
planted_dmin3_mu0.05   2.1  giant    0.702  0.81    False
planted_dmin3_mu0.05   2.1   core    0.701  0.81    False
planted_dmin3_mu0.05   2.5   full    0.787  0.79     True
planted_dmin3_mu0.05   2.5  giant    0.787  0.79     True
planted_dmin3_mu0.05   2.5   core    0.786  0.79     True
planted_dmin3_mu0.05   3.0   full    0.861  0.78     True
planted_dmin3_mu0.05   3.0  giant    0.861  0.78     True
planted_dmin3_mu0.05   3.0   core    0.862  0.78     True
planted_dmin3_mu0.1   2.1   full    0.660  0.74    False
planted_dmin3_mu0.1   2.1  giant    0.660  0.74    False
planted_dmin3_mu0.1   2.1   core    0.660  0.74    False
planted_dmin3_mu0.1   2.5   full    0.688  0.65    False
planted_dmin3_mu0.1   2.5  giant    0.688  0.65    False
planted_dmin3_mu0.1   2.5   core    0.687  0.65    False
planted_dmin3_mu0.1   3.0   full    0.757  0.67     True
planted_dmin3_mu0.1   3.0  giant    0.757  0.67     True
planted_dmin3_mu0.1   3.0   core    0.758  0.68     True
planted_dmin3_mu0.2   2.1   full    0.069  0.02    False
planted_dmin3_mu0.2   2.1  giant    0.069  0.02    False
planted_dmin3_mu0.2   2.1   core    0.069  0.02    False
planted_dmin3_mu0.2   2.5   full    0.044  0.01    False
planted_dmin3_mu0.2   2.5  giant    0.044  0.01    False
planted_dmin3_mu0.2   2.5   core    0.057  0.01    False
planted_dmin3_mu0.2   3.0   full    0.053  0.01    False
planted_dmin3_mu0.2   3.0  giant    0.053  0.01    False
planted_dmin3_mu0.2   3.0   core    0.055  0.01    False
planted_dmin3_mu0.3   2.1   full   -0.524  0.16    False
planted_dmin3_mu0.3   2.1  giant   -0.524  0.16    False
planted_dmin3_mu0.3   2.1   core   -0.519  0.16    False
planted_dmin3_mu0.3   2.5   full   -0.245  0.03    False
planted_dmin3_mu0.3   2.5  giant   -0.245  0.03    False
planted_dmin3_mu0.3   2.5   core   -0.229  0.03    False
planted_dmin3_mu0.3   3.0   full    0.176  0.02    False
planted_dmin3_mu0.3   3.0  giant    0.176  0.02    False
planted_dmin3_mu0.3   3.0   core    0.175  0.02    False

=== d_min=2 vs d_min=3 (оба без листьев): эффект степени 2 ===
    γ      n  λ₂(dmin2)  λ₂(dmin3)  ratio   φ*(d2)   φ*(d3)
  2.1  100.0     0.1910     0.3205   1.68    0.265    0.313
  2.1  200.0     0.1824     0.3127   1.71    0.275    0.310
  2.1  500.0     0.1541     0.3022   1.96    0.265    0.315
  2.1 1000.0     0.1330     0.2902   2.18    0.238    0.317
  2.1 3000.0     0.1157     0.2829   2.45    0.214    0.322
  2.1 10000.0     0.0953     0.2668   2.80    0.190    0.330
  2.1 30000.0     0.0834     0.2574   3.09    0.170    0.335
  2.1 100000.0     0.0700     0.2492   3.56    0.153    0.342
  2.5  100.0     0.1191     0.2643   2.22    0.200    0.279
  2.5  200.0     0.1081     0.2558   2.37    0.202    0.274
  2.5  500.0     0.0963     0.2454   2.55    0.203    0.277
  2.5 1000.0     0.0861     0.2392   2.78    0.188    0.281
