model,n_target,c,gamma,D,rep,n,m,avg_deg,N2,P2,q,giant_frac,giant_n,giant_lambda2,core_frac,core_n,core_m,d_bar_core,core_lambda2,core_P2,q_core
ER,3000,2.4,,,0,3000,3613,2.4086666666666665,769,0.25633333333333336,0.2128425131469693,0.882,2646,0.014331348811893463,0.6096666666666667,1829,2740,2.996172772006561,0.05060095968190148,0.4078731547293603,0.27226277372262775
ER,3000,2.4,,,1,3000,3597,2.398,778,0.25933333333333336,0.21629135390603282,0.867,2601,0.0310344238635063,0.6376666666666667,1913,2851,2.980658651332985,0.03845574576964239,0.4312598013591218,0.2893721501227639
ER,3000,2.4,,,2,3000,3576,2.384,807,0.269,0.22567114093959734,0.8756666666666667,2627,0.02555171544652257,0.6226666666666667,1868,2753,2.9475374732334045,0.04383342086138642,0.4470021413276231,0.3033054849255358
ER,3000,2.4,,,3,3000,3661,2.4406666666666665,746,0.24866666666666667,0.20376946189565695,0.8886666666666667,2666,0.015654199416945902,0.6226666666666667,1868,2821,3.0203426124197,0.04531809545028498,0.41220556745182013,0.2729528535980149
ER,3000,2.8,,,0,3000,4296,2.864,730,0.24333333333333335,0.16992551210428308,0.9323333333333333,2797,0.03346544349669678,0.754,2262,3743,3.3094606542882405,0.0720939188417058,0.34084880636604775,0.20598450440822869
ER,3000,2.8,,,1,3000,4188,2.792,736,0.24533333333333332,0.17574021012416427,0.9293333333333333,2788,0.02158017059857764,0.7323333333333333,2197,3571,3.2507965407373693,0.0727665967310056,0.3609467455621302,0.22206664799775971
ER,3000,2.8,,,2,3000,4203,2.802,754,0.25133333333333335,0.17939566975969545,0.9266666666666666,2780,0.023358459687731203,0.731,2193,3596,3.2795257637938895,0.06838503358853654,0.3593251253989968,0.21913236929922136
ER,3000,2.8,,,3,3000,4049,2.699333333333333,756,0.252,0.18671276858483576,0.9186666666666666,2756,0.04176804717763627,0.7106666666666667,2132,3394,3.1838649155722325,0.06256192758967138,0.3771106941838649,0.23688862698880378
ER,3000,3.2,,,0,3000,4777,3.1846666666666668,661,0.22033333333333333,0.13837136277998743,0.953,2859,0.030601156575408517,0.824,2472,4377,3.54126213592233,0.08213439692968594,0.28398058252427183,0.16038382453735434
ER,3000,3.2,,,1,3000,4754,3.1693333333333333,651,0.217,0.1369373159444678,0.948,2844,0.04187936782037971,0.8006666666666666,2402,4306,3.5853455453788508,0.08327566632341421,0.279766860949209,0.15606130980027869
ER,3000,3.2,,,2,3000,4747,3.1646666666666667,667,0.22233333333333333,0.1405097956604171,0.952,2856,0.03800191267488495,0.8076666666666666,2423,4299,3.548493602971523,0.09609379443998267,0.2876599257119274,0.16213072807629683
ER,3000,3.2,,,3,3000,4747,3.1646666666666667,656,0.21866666666666668,0.13819254265852118,0.945,2835,0.03668064993281428,0.808,2424,4325,3.5684818481848186,0.0644229302127024,0.290016501650165,0.16254335260115607
ER,3000,2.0,,,3,3000,2929,1.9526666666666668,819,0.273,0.2796176169341072,0.7756666666666666,2327,0.007195873176420564,0.4513333333333333,1354,1790,2.6440177252584935,0.02416604695658971,0.5627769571639586,0.4256983240223463
ER,3000,3.6,,,0,3000,5291,3.5273333333333334,541,0.18033333333333335,0.10224910224910225,0.9626666666666667,2888,0.060013963205415743,0.853,2559,4957,3.874169597499023,0.10456969564887775,0.22196170379054317,0.11458543473875328
