gamma,n,lam2_dmin2,lam2_dmin3,ratio_d3_over_d2,phi_dmin2,phi_dmin3,ipr_dmin2,ipr_dmin3
2.1,30000.0,0.083399585871942,0.25739134383628165,3.086242469255179,0.16973852523465527,0.3354565527742316,0.18048922320508862,0.10152059762425422
2.1,100000.0,0.06999175358300264,0.24916149433769064,3.559869292919088,0.15335826000754094,0.3419618542765411,0.16617851358750585,0.10845495161419859
2.5,30000.0,0.04855004526988111,0.21408874996481775,4.409650882398488,0.12764581776535885,0.29295307954740385,0.13283604636333435,0.06861186389933366
2.5,100000.0,0.041439860863997424,0.2074559476840564,5.006193152166016,0.11412499955746572,0.30185956707126893,0.12846734875571622,0.08958649278448322
3.0,30000.0,0.026275935597440493,0.17240897686020498,6.561478133513127,0.09268056980602993,0.24344898150509453,0.09406480165375551,0.03242418938947158
