model,kind,n,m,avg_deg,p2,q,giant_n,lambda2,n_eigs,beta,alpha_pred,alpha_known,n_chains,chain_mean,chain_max,chain_p_gt10
unif_D8,unif,2000,4946,4.946,0.138,0.05580266882329156,2000,0.18478984565587186,150,6.139302226779922,0.1628849603849039,0.069,261,1.0574712643678161,3,0.0
unif_D8,unif,2000,4982,4.982,0.1585,0.06362906463267763,2000,0.18025489676169903,150,5.9253054875319355,0.16876766980271418,0.069,294,1.0782312925170068,3,0.0
pl_g2.5_D50,pl,2000,3789,3.789,0.535,0.2823964106624439,2000,0.06037313569143077,150,3.3011173967074985,0.30292773016718216,0.164,784,1.364795918367347,7,0.0
pl_g2.5_D50,pl,1999,3897,3.8989494747373685,0.5307653826913457,0.2722607133692584,1999,0.0768116558473324,150,3.558149523904575,0.2810449626362635,0.164,765,1.3869281045751634,6,0.0
er_c3,er,2000,2916,2.916,0.239,0.16392318244170095,1877,0.01282980956190305,150,2.5513431031254266,0.3919504196730686,0.089,403,1.183622828784119,3,0.0
er_c3,er,2000,3107,3.107,0.2215,0.14258126810428065,1890,0.022362765165992782,150,2.863588463333853,0.3492121905100071,0.089,385,1.148051948051948,5,0.0
